Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Well-Sun Tools,RCT02,"2-1/8""",2.125,GO 'A',GO 'A',3,24,No
Well-Sun Tools,RBT01 (Well-Sun),"3-1/8""",3.125,GO 'A',GO 'A',9.1,105.8,No
Well-Sun Tools,BWS01,1.693,1.693,GO 'A',N/A,0.2,1.1,Yes
EV Tools,Optis® M160 Memory Camera,"1-11/16""",1.688,,N/A,14.4,83.6,No
Well Conveyor,SBC 2W Drive Module,"1.654""",1.654,ACME,ACME,5.3,28.7,No
Well Conveyor,SBC Brain,"1.654""",1.654,ACME,ACME,2.1,8.4,No
Well Conveyor,SBC Bull Nose,"1.654""",1.654,ACME,N/A,0.1,1.3,No
Well Conveyor,SBC Comms Module,"1.654""",1.654,ACME,ACME,1.4,2.2,No
Well Conveyor,SBC Knuckle Joint,"1.654""",1.654,ACME,ACME,1.3,7.1,No
Well Conveyor,SBC Power Module,"1.654""",1.654,ACME,ACME,6.6,15,No
Titan Tools,3' Titan Sinker Bar,"1-11/16""",1.688,GO 'A',GO 'A',3,21,Yes
Titan Tools,5' Titan Sinker Bar,"1-11/16""",1.688,GO 'A',GO 'A',5,35,Yes
Titan Tools,7' Titan Sinker Bar,"1-11/16""",1.688,GO 'A',GO 'A',7,49,Yes
Titan Tools,X-Over (Sondex Pin to GO Box),"1-11/16""",1.688,GO 'A',Sondex,0.4,1.8,Yes
Titan Tools,X-Over (GO to Sondex),"1-11/16""",1.688,Sondex,GO 'A',0.3,1.6,Yes
Titan Tools,Titan Swivel,"1-3/4""",1.75,GO 'A',GO 'A',1.4,11,Yes
Titan Tools,Titan Knuckle Joint,"1-11/16""",1.688,GO 'A',GO 'A',0.7,4,Yes
Titan Tools,Titan Shock Absorber,"1-11/16""",1.688,GO 'A',GO 'A',2.2,15,No
Owen Oil Tools,Trigger Tool,"1-11/16""",1.688,Trigger Probe,Trigger Probe,4.8,24,No
Owen Oil Tools,Spring Centraliser,"1-11/16""",1.688,Trigger Probe,Trigger Probe,2.9,5,No
Owen Oil Tools,Firing Head,"1-1/2""",1.5,Trigger Probe,Trigger Probe,0.2,1,No
Owen Oil Tools,Aluminium Shock Sub,"1-1/2""",1.5,Trigger Probe,Trigger Probe,1.2,1,No
Owen Oil Tools,Adapter Sub Cutter,"1-1/2""",1.5,Trigger Probe,Trigger Probe,0.2,0.5,No
Owen Oil Tools,ACE Tubing Cutter,"2.062""",2.062,Trigger Probe,N/A,0.5,0.5,No
Owen Oil Tools,ACE Tubing Cutter,"2.500""",2.5,Trigger Probe,N/A,0.5,0.5,No
GOWell Tools,Magnetic Thickness Detector MTD43C-E,"1-11/16""",1.688,GO 'A',N/A,3.7,12,No
GOWell Tools,ALFA,"1.15""",1.15,GO 'A',N/A,2.8,3.3,No
GDT Tools,RBT (GDT),"1-11/16""",1.688,GO 'A',N/A,9.5,105.8,No
GDT Tools,RBT (GDT),"3-1/8""",3.125,GO 'A',N/A,8.9,105.8,No
