Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Running and Pulling Tools,Heavy Duty Pulling Tool,"1-1/2""",1.35,"15/16"" SR",N/A,1.1,2,No
Running and Pulling Tools,Heavy Duty Pulling Tool,"2""",2,"15/16"" SR",N/A,1.3,4,No
Running and Pulling Tools,Heavy Duty Pulling Tool,"2-1/2""",2.5,"1-1/16"" SR",N/A,1.3,6.5,No
Running and Pulling Tools,Heavy Duty Pulling Tool,"3""",3.125,"1-1/16"" SR",N/A,1.5,10.5,No
Running and Pulling Tools,Heavy Duty Pulling Tool,"4""",4,"1-1/16"" SR",N/A,2.3,24,No
Running and Pulling Tools,Uni Pulling Tool,"1-1/2""",1.5,"15/16"" SR",N/A,1.8,4.4,No
Running and Pulling Tools,Uni Pulling Tool,"2""",1.78,"15/16"" SR",N/A,1.8,8.8,No
Running and Pulling Tools,Uni Pulling Tool,"2-1/2""",2.18,"15/16"" SR",N/A,2,11,No
Running and Pulling Tools,Uni Pulling Tool,"3""",2.72,"1-1/16"" SR",N/A,2,19.8,No
Running and Pulling Tools,Uni Pulling Tool,"3-1/2""",3.115,"1-1/16"" SR",N/A,2,26.4,No
Running and Pulling Tools,Uni Pulling Tool,"4""",3.61,"1-1/16"" SR",N/A,2,28.6,No
Standard Service Tools,42BO,"2.813""",2.718,"1-1/16"" SR","1-1/16"" SR",1,12.6,Yes
Standard Service Tools,42BO,"2.750""",2.718,"1-1/16"" SR","1-1/16"" SR",1,12.6,Yes
Standard Service Tools,42BO,"2.313""",2.156,"15/16"" SR","15/16"" SR",1,12.6,Yes
Standard Service Tools,42BO,"1.875""",1.84,"15/16"" SR","15/16"" SR",1,12.6,Yes
Standard Service Tools,142BO,"2.813""",2.78,"1-1/16"" SR","1-1/16"" SR",1.5,12.6,Yes
Standard Service Tools,142BO,"2.750""",2.72,"1-1/16"" SR","1-1/16"" SR",1.5,12.6,Yes
Standard Service Tools,142BO,"2.313""",2.28,"15/16"" SR","15/16"" SR",1.5,12.6,Yes
Standard Service Tools,142BO,"1.875""",1.843,"15/16"" SR","15/16"" SR",1.5,12.6,Yes
Standard Service Tools,Tubing End Locator,"2"" - 3""",1.71,"1.0"" NPT","1.0"" NPT",2,10,Yes
Standard Service Tools,Tubing End Locator,"3"" - 5""",2.31,"1.062""-10","1.062""-10",2,15,Yes
Standard Service Tools,X-Check Set Tool,"1.875""",1.75,"15/16"" SR",N/A,1.2,5,No
Standard Service Tools,X-Check Set Tool,"2.313""",2.16,"15/16"" SR",N/A,1.2,8,No
Standard Service Tools,X-Check Set Tool,"2.750""",2.661,"1-1/16"" SR",N/A,1.2,10,No
Standard Service Tools,X-Check Set Tool,"2.813""",2.715,"1-1/16"" SR",N/A,1.2,12,No
Standard Service Tools,"X-Over (1-1/16"" SR Pin to 15/16"" SR Box)","1-7/8""",1.875,"1-1/16"" SR","15/16"" SR",0.4,1.5,Yes
Standard Service Tools,"X-Over (1-1/16"" SR Box to 1-1/16"" SR Box)","1-1/2""",1.5,"1-1/16"" SR","1-1/16"" SR",0.4,1,Yes
Standard Service Tools,"X-Over (15/16"" SR Pin to 1-1/16"" SR Box)","1-7/8""",1.875,"15/16"" SR","1-1/16"" SR",0.4,1.5,Yes
Standard Service Tools,"X-Over (15/16"" SR Box to 15/16"" SR Box)","1.200""",1.2,"15/16"" SR","15/16"" SR",0.3,0.5,Yes
Standard Service Tools,"X-Over (1-9/16"" SR Pin to 1-1/16"" SR Box)","2-1/2""",2.5,"1-9/16"" SR","1-1/16"" SR",0.4,2,Yes
Standard Service Tools,"X-Over (1-1/16"" SR Pin to 1-9/16"" SR Box)","2-1/2""",2.5,"1-1/16"" SR","1-9/16"" SR",0.4,2,Yes
Standard Service Tools,"X-Over (15/16"" SR Pin to 5/8"" Box)","1-1/2""",1.875,"15/16"" SR","5/8"" Box",0.4,1.5,Yes
Standard Service Tools,QLS,"1-7/8""",1.875,"1-7/8"" QLS","1-7/8"" QLS",1,4.7,Yes
Standard Service Tools,QLS,"1-1/2""",1.5,"1-1/2"" QLS","1-1/2"" QLS",1,4.7,Yes
Standard Service Tools,QLS,"1-1/4""",1.25,"1-1/4"" QLS","1-1/4"" QLS",1,4.7,Yes
Running and Pulling Tools,X-Line,"2.813""",2.687,Prong,Prong,2.6,20,Yes
Running and Pulling Tools,X-Line,"2.750""",2.687,Prong,Prong,2.6,20,Yes
Running and Pulling Tools,X-Line,"2.313""",2.171,Prong,Prong,2.5,18,Yes
Running and Pulling Tools,X-Line,"1.875""",1.75,Prong,Prong,2.4,15,Yes
Running and Pulling Tools,JK-1,"1.00""",1.33,GLV,GLV,0.5,1,Yes
Running and Pulling Tools,GA-2,"1.00""",1.187,GLV,GLV,0.4,1,Yes
Running and Pulling Tools,D1T Running Tool,"3""",,Prong,Prong,,,Yes
Running and Pulling Tools,SO Running Tool,TBC,,Prong,Prong,,,No
Running and Pulling Tools,OK-6 Kickover Tool,"2.5""",2.5,"15/16"" SR","15/16"" SR",5.8,35.2,Yes
Running and Pulling Tools,Merla Kickover Tool,"3""",2.72,"15/16"" SR","15/16"" SR",3.2,26.4,Yes
Fishing Tools,Wire Finder,"2-3/8"" Tubing",1.75,"15/16"" SR",N/A,1,33,Yes
Fishing Tools,Wire Finder,"2-7/8"" Tubing",2.195,"15/16"" SR",N/A,1,33,Yes
Fishing Tools,Wire Finder,"3-1/2"" Tubing",2.72,"1-1/16"" SR",N/A,1,33,Yes
Fishing Tools,Wire Finder,"4-1/2"" Tubing",3.6,"1-1/16"" SR",N/A,1,33,Yes
Fishing Tools,Wire Finder,"5"" Tubing",3.8,"1-9/16"" SR",N/A,1,33,Yes
Fishing Tools,Wire Finder,"5-1/2"" Tubing",4.53,"1-9/16"" SR",N/A,1,35,Yes
Fishing Tools,Wire Finder,"6"" Tubing",6,"1-9/16"" SR",N/A,1,40,Yes
Standard Service Tools,Wire Scratcher,3.5,3.5,"15/16"" SR",N/A,1,32.7,Yes
Standard Service Tools,Lead Impression Block,"2.00""",2,"15/16"" SR",N/A,0.5,2.5,Yes
Standard Service Tools,Lead Impression Block,"2.30""",2.3,"15/16"" SR",N/A,0.5,3.5,Yes
Standard Service Tools,Lead Impression Block,"2.52""",2.52,"1-1/16"" SR",N/A,0.6,4.5,Yes
Standard Service Tools,Lead Impression Block,"2.62""",2.62,"1-1/16"" SR",N/A,0.6,5,Yes
Standard Service Tools,Lead Impression Block,"2.75""",2.75,"1-1/16"" SR",N/A,0.6,5,Yes
Standard Service Tools,Lead Impression Block,"3.00""",3,"1-1/16"" SR",N/A,0.6,6.8,Yes
Standard Service Tools,Lead Impression Block,"3.60""",3.6,"1-1/16"" SR",N/A,0.6,9,Yes
Standard Service Tools,Lead Impression Block,"3.79""",3.79,"1-1/16"" SR",N/A,0.6,10,Yes
Standard Service Tools,Lead Impression Block,"4.00""",4,"1-1/16"" SR",N/A,0.6,11,Yes
Standard Service Tools,Lead Impression Block,"4.25""",4.25,"1-1/16"" SR",N/A,0.6,12,Yes
Standard Service Tools,Lead Impression Block,"4.40""",4.4,"1-1/16"" SR",N/A,0.6,12,Yes
Standard Service Tools,Long Lead Impression Block,"1.00""",1,"15/16"" SR",N/A,1,1.5,Yes
